"major_category_code","major_category_name","discipline_code","edition"
"0101","哲学类","01","2025"
"0201","经济学类","02","2025"
"0202","财政学类","02","2025"
"0203","金融学类","02","2025"
"0204","经济与贸易类","02","2025"
"0301","法学类","03","2025"
"0302","政治学类","03","2025"
"0303","社会学类","03","2025"
"0304","民族学类","03","2025"
"0305","马克思主义理论类","03","2025"
"0306","公安学类","03","2025"
"0401","教育学类","04","2025"
"0402","体育学类","04","2025"
"0501","中国语言文学类","05","2025"
"0502","外国语言文学类","05","2025"
"0503","新闻传播学类","05","2025"
"0601","历史学类","06","2025"
"0701","数学类","07","2025"
"0702","物理学类","07","2025"
"0703","化学类","07","2025"
"0704","天文学类","07","2025"
"0705","地理科学类","07","2025"
"0706","大气科学类","07","2025"
"0707","海洋科学类","07","2025"
"0708","地球物理学类","07","2025"
"0709","地质学类","07","2025"
"0710","生物科学类","07","2025"
"0711","心理学类","07","2025"
"0712","统计学类","07","2025"
"0801","力学类","08","2025"
"0802","机械类","08","2025"
"0803","仪器类","08","2025"
"0804","材料类","08","2025"
"0805","能源动力类","08","2025"
"0806","电气类","08","2025"
"0807","电子信息类","08","2025"
"0808","自动化类","08","2025"
"0809","计算机类","08","2025"
"0810","土木类","08","2025"
"0811","水利类","08","2025"
"0812","测绘类","08","2025"
"0813","化工与制药类","08","2025"
"0814","地质类","08","2025"
"0815","矿业类","08","2025"
"0816","纺织类","08","2025"
"0817","轻工类","08","2025"
"0818","交通运输类","08","2025"
"0819","海洋工程类","08","2025"
"0820","航空航天类","08","2025"
"0821","兵器类","08","2025"
"0822","核工程类","08","2025"
"0823","农业工程类","08","2025"
"0824","林业工程类","08","2025"
"0825","环境科学与工程类","08","2025"
"0826","生物医学工程类","08","2025"
"0827","食品科学与工程类","08","2025"
"0828","建筑类","08","2025"
"0829","安全科学与工程类","08","2025"
"0830","生物工程类","08","2025"
"0831","公安技术类","08","2025"
"0832","交叉工程类","08","2025"
"0901","植物生产类","09","2025"
"0902","自然保护与环境生态类","09","2025"
"0903","动物生产类","09","2025"
"0904","动物医学类","09","2025"
"0905","林学类","09","2025"
"0906","水产类","09","2025"
"0907","草学类","09","2025"
"1001","基础医学类","10","2025"
"1002","临床医学类","10","2025"
"1003","口腔医学类","10","2025"
"1004","公共卫生与预防医学类","10","2025"
"1005","中医学类","10","2025"
"1006","中西医结合类","10","2025"
"1007","药学类","10","2025"
"1008","中药学类","10","2025"
"1009","法医学类","10","2025"
"1010","医学技术类","10","2025"
"1011","护理学类","10","2025"
"1201","管理科学与工程类","12","2025"
"1202","工商管理类","12","2025"
"1203","农业经济管理类","12","2025"
"1204","公共管理类","12","2025"
"1205","图书情报与档案管理类","12","2025"
"1206","物流管理与工程类","12","2025"
"1207","工业工程类","12","2025"
"1208","电子商务类","12","2025"
"1209","旅游管理类","12","2025"
"1301","艺术学理论类","13","2025"
"1302","音乐与舞蹈学类","13","2025"
"1303","戏剧与影视学类","13","2025"
"1304","美术学类","13","2025"
"1305","设计学类","13","2025"
