"major_code","major_name","major_category_code","note","is_special_major","is_controlled_major","edition"
"010101","哲学","0101",,"0","0","2025"
"010102","逻辑学","0101",,"0","0","2025"
"010103K","宗教学","0101",,"0","1","2025"
"010104T","伦理学","0101",,"1","0","2025"
"020101","经济学","0201",,"0","0","2025"
"020102","经济统计学","0201",,"0","0","2025"
"020103T","国民经济管理","0201",,"1","0","2025"
"020104T","资源与环境经济学","0201",,"1","0","2025"
"020105T","商务经济学","0201",,"1","0","2025"
"020106T","能源经济","0201",,"1","0","2025"
"020107T","劳动经济学","0201",,"1","0","2025"
"020108T","经济工程","0201",,"1","0","2025"
"020109T","数字经济","0201",,"1","0","2025"
"020201K","财政学","0202",,"0","1","2025"
"020202","税收学","0202",,"0","0","2025"
"020203TK","国际税收","0202",,"1","1","2025"
"020301K","金融学","0203",,"0","1","2025"
"020302","金融工程","0203",,"0","0","2025"
"020303","保险学","0203",,"0","0","2025"
"020304","投资学","0203",,"0","0","2025"
"020305T","金融数学","0203",,"1","0","2025"
"020306T","信用管理","0203","可授经济学或管理学学士学位","1","0","2025"
"020307T","经济与金融","0203",,"1","0","2025"
"020308T","精算学","0203","可授经济学或理学学士学位","1","0","2025"
"020309T","互联网金融","0203",,"1","0","2025"
"020310T","金融科技","0203",,"1","0","2025"
"020311TK","金融审计","0203",,"1","1","2025"
"020401","国际经济与贸易","0204",,"0","0","2025"
"020402","贸易经济","0204",,"0","0","2025"
"020403T","国际经济发展合作","0204",,"1","0","2025"
"030101K","法学","0301",,"0","1","2025"
"030102T","知识产权","0301",,"1","0","2025"
"030103T","监狱学","0301",,"1","0","2025"
"030104T","信用风险管理与法律防控","0301",,"1","0","2025"
"030105T","国际经贸规则","0301",,"1","0","2025"
"030106TK","司法警察学","0301",,"1","1","2025"
"030107TK","社区矫正","0301",,"1","1","2025"
"030108TK","纪检监察","0301",,"1","1","2025"
"030109TK","国际法","0301",,"1","1","2025"
"030110TK","司法鉴定学","0301",,"1","1","2025"
"030111TK","国家安全学","0301",,"1","1","2025"
"030112TK","海外利益安全","0301",,"1","1","2025"
"030201","政治学与行政学","0302",,"0","0","2025"
"030202","国际政治","0302",,"0","0","2025"
"030203","外交学","0302",,"0","0","2025"
"030204T","国际事务与国际关系","0302",,"1","0","2025"
"030205T","政治学、经济学与哲学","0302",,"1","0","2025"
"030206TK","国际组织与全球治理","0302",,"1","1","2025"
"030301","社会学","0303",,"0","0","2025"
"030302","社会工作","0303",,"0","0","2025"
